hai,3,phrase,score
merekam,2.0,,
,,menyenangkan,1.0
,,interaktif,1.0
,,gratis,1.0
,,mudah digunakan,1.0
,,fleksibel,1.0
,,memotivasi,1.0
,,antarmuka ramah pengguna,1.0
,,pembelajaran gamifikasi,1.0
,,pelacakan kemajuan,1.0
,,latihan harian,1.0
,,belajar menyenangkan,1.0
,,terstruktur,1.0
,,pengulangan efektif,1.0
,,grafik menarik,1.0
,,tantangan seru,1.0
,,fitur komunitas,1.0
,,mudah dipahami,1.0
,,belajar otodidak,1.0
,,pengingat harian,1.0
,,sistem poin,1.0
,,membantu belajar,1.0
,,pembelajaran efektif,1.0
,,fitur menyenangkan,1.0
,,belajar santai,1.0
,,materi jelas,1.0
,,pengucapan bagus,1.0
,,tampilan menarik,1.0
,,interface intuitif,1.0
,,sistem belajar inovatif,1.0
,,belajar fleksibel,1.0
,,cocok pemula,1.0
,,belajar konsisten,1.0
,,terintegrasi baik,1.0
,,pengalaman positif,1.0
,,pengalaman menyenangkan,1.0
,,cepat dipahami,1.0
,,tidak membosankan,1.0
,,mendorong semangat,1.0
,,sangat edukatif,1.0
,,game edukatif,1.0
,,tantangan menarik,1.0
,,memperkuat kosakata,1.0
,,komunitas aktif,1.0
,,mudah diakses,1.0
,,menarik perhatian,1.0
,,fitur lengkap,1.0
,,kelas virtual,1.0
,,efisiensi tinggi,1.0
,,belajar harian,1.0
